Acurácia,Recall,Precisão,F1,Kappa,Acurácia Balanceada
KNN,0.2,0.2,0.2,0.2,0.2,0.2
Gauss,0.2,0.2,0.2,0.2,0.2,0.2
Tree,0.198,0.198,0.1981,0.198,0.1979,0.198
SVM,0.2,0.2,0.2,0.2,0.2,0.2
KNNSELECT,0.2,0.2,0.2,0.2,0.2,0.2
GaussSELECT,0.2,0.2,0.2,0.2,0.2,0.2
TreeSELECT,0.1992,0.1992,0.1993,0.1992,0.1992,0.1992
SVMSELECT,0.2,0.2,0.2,0.2,0.2,0.2
